,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,Adrián,ESP,GK,Betis,es  La Liga,38-067,1987,8.0,10,1,0,2,0,8.8,0.32,-1.2,-0.15,30,80,37.5,229,34,28.8,31.3,41,34.1,36.0,101,5,5.0,5,0.63,12.7
1,Julen Agirrezabala,ESP,GK,Athletic Club,es  La Liga,24-075,2000,13.4,9,1,2,1,0,10.5,0.27,1.5,0.11,57,178,32.0,341,51,37.5,33.9,66,75.8,54.9,143,20,14.0,17,1.27,14.2
2,Alisson,BRA,GK,Liverpool,eng  Premier League,32-160,1992,20.9,18,0,0,1,0,17.7,0.28,-0.3,-0.01,52,138,37.7,589,86,20.4,26.5,54,33.3,30.7,198,7,3.5,39,1.87,15.8
3,Alphonse Areola,FRA,GK,West Ham,eng  Premier League,32-012,1993,16.1,28,0,0,2,3,21.6,0.3,-3.4,-0.21,102,258,39.5,504,71,33.9,31.9,140,62.1,44.9,244,11,4.5,16,0.99,13.3
4,Kepa Arrizabalaga,ESP,GK,Bournemouth,eng  Premier League,30-159,1994,21.0,27,4,0,2,0,29.3,0.26,2.3,0.11,102,265,38.5,539,76,36.5,34.1,134,50.7,40.3,264,13,4.9,36,1.71,15.8
5,Noah Atubolu,GER,GK,Freiburg,de  Bundesliga,22-290,2002,22.0,29,0,1,3,0,30.7,0.29,1.7,0.08,136,354,38.4,906,99,31.3,32.7,103,68.0,51.4,332,27,8.1,25,1.14,12.8
6,Emil Audero,ITA,GK,Como,it  Serie A,28-052,1997,8.0,18,4,0,2,0,12.4,0.27,-5.6,-0.7,17,55,30.9,232,30,22.0,28.6,21,19.0,27.5,95,5,5.3,8,1.0,12.9
7,Brandon Austin,ENG,GK,Tottenham,eng  Premier League,26-062,1999,1.0,2,0,0,0,0,2.2,0.55,0.2,0.2,3,11,27.3,26,5,38.5,32.3,6,16.7,29.0,15,5,33.3,2,2.0,12.4
8,Augusto Batalla,ARG,GK,Rayo Vallecano,es  La Liga,28-315,1996,22.0,23,2,0,3,1,23.1,0.22,1.1,0.05,117,357,32.8,670,85,41.3,37.7,134,59.7,49.3,304,21,6.9,17,0.77,13.6
9,Oliver Baumann,GER,GK,Hoffenheim,de  Bundesliga,34-282,1990,20.0,36,2,0,5,1,39.9,0.38,4.9,0.24,106,295,35.9,662,98,36.3,34.4,90,61.1,47.2,300,10,3.3,20,1.0,14.6
10,Dimitry Bertaud,COD,GK,Montpellier,fr  Ligue 1,26-278,1998,3.0,8,1,0,0,0,6.3,0.36,-1.7,-0.56,18,42,42.9,66,14,42.4,36.5,25,56.0,44.8,43,8,18.6,2,0.67,12.8
11,Marco Bizot,NED,GK,Brest,fr  Ligue 1,34-001,1991,24.0,39,5,1,1,1,33.7,0.3,-4.3,-0.18,172,403,42.7,664,98,44.6,36.9,156,68.6,50.8,340,24,7.1,29,1.21,15.3
12,Jean Butez,FRA,GK,Como,it  Serie A,29-276,1995,10.0,14,2,0,1,0,11.8,0.27,-2.2,-0.22,55,136,40.4,401,53,30.7,31.9,23,56.5,44.0,99,11,11.1,20,2.0,16.7
13,Marcin Bułka,POL,GK,Nice,fr  Ligue 1,25-158,1999,25.0,30,2,0,3,1,32.8,0.27,3.8,0.15,81,209,38.8,727,129,22.4,28.6,119,38.7,33.9,363,29,8.0,22,0.88,12.0
14,Elia Caprile,ITA,GK,Cagliari,it  Serie A,23-198,2001,9.0,11,1,0,1,0,14.9,0.35,3.9,0.44,68,180,37.8,269,43,49.4,38.5,81,58.0,45.4,145,6,4.1,6,0.67,14.6
15,Elia Caprile,ITA,GK,Napoli,it  Serie A,23-198,2001,3.6,1,0,0,0,0,2.2,0.27,1.2,0.32,11,25,44.0,82,9,25.6,31.7,15,26.7,30.7,31,3,9.7,3,0.83,13.7
16,Cárdenas,ESP,GK,Rayo Vallecano,es  La Liga,27-348,1997,5.0,6,0,0,0,0,5.6,0.31,-0.4,-0.08,23,84,27.4,100,15,57.0,44.8,39,69.2,52.4,69,1,1.4,1,0.2,10.5
17,Tiago Cardoso,LUX,GK,Gladbach,de  Bundesliga,18-338,2006,1.0,0,0,0,0,0,0.3,0.08,0.3,0.33,5,10,50.0,31,6,22.6,26.5,8,37.5,32.5,19,1,5.3,0,0.0,6.8
18,Patrik Carlgren,SWE,GK,Nantes,fr  Ligue 1,33-062,1992,3.0,5,0,0,0,0,6.1,0.29,1.1,0.35,14,37,37.8,69,21,27.5,30.5,23,78.3,50.7,54,1,1.9,1,0.33,12.8
19,Marco Carnesecchi,ITA,GK,Atalanta,it  Serie A,24-253,2000,25.0,25,1,0,2,2,25.5,0.3,2.5,0.1,83,268,31.0,631,113,29.2,32.9,135,62.2,47.6,214,15,7.0,33,1.32,14.8
20,Lucas Chevalier,FRA,GK,Lille,fr  Ligue 1,23-125,2001,25.0,27,3,0,4,0,33.2,0.33,6.2,0.25,87,221,39.4,698,93,27.9,30.3,87,29.9,35.0,266,15,5.6,16,0.64,14.1
21,Leandro Chichizola,ARG,GK,Parma,it  Serie A,34-349,1990,1.0,3,0,0,0,0,2.5,0.43,-0.5,-0.54,3,16,18.8,41,5,31.7,33.9,8,37.5,34.4,21,2,9.5,2,2.0,16.3
22,Jasper Cillessen,NED,GK,Las Palmas,es  La Liga,35-323,1989,24.7,40,4,0,4,2,42.4,0.3,4.4,0.18,111,394,28.2,780,134,39.9,34.6,172,48.3,43.4,405,12,3.0,20,0.81,14.6
23,Diego Conde,ESP,GK,Villarreal,es  La Liga,26-134,1998,19.8,29,3,1,6,1,22.5,0.25,-5.5,-0.28,58,157,36.9,492,99,23.8,28.9,94,42.6,38.1,306,18,5.9,13,0.66,11.2
24,Grégoire Coudert,FRA,GK,Brest,fr  Ligue 1,25-342,1999,1.0,1,0,0,1,0,0.9,0.13,-0.1,-0.07,3,12,25.0,34,3,26.5,31.1,4,75.0,52.8,22,1,4.5,1,1.0,11.7
25,Thibaut Courtois,BEL,GK,Real Madrid,es  La Liga,32-304,1992,23.0,21,3,0,3,1,19.4,0.29,-0.6,-0.02,37,141,26.2,684,124,15.6,26.9,107,31.8,37.0,249,10,4.0,13,0.57,11.1
26,Finn Dahmen,GER,GK,Augsburg,de  Bundesliga,26-349,1998,10.0,3,0,0,0,1,9.4,0.31,7.4,0.74,66,177,37.3,315,26,38.7,34.2,71,77.5,55.1,195,6,3.1,11,1.1,13.3
27,Thomas Dähne,GER,GK,Holstein Kiel,de  Bundesliga,31-066,1994,1.0,3,0,0,1,0,3.5,0.32,0.5,0.53,5,9,55.6,35,3,20.0,29.6,7,28.6,29.3,18,1,5.6,0,0.0,7.0
28,Théo De Percin,MTQ,GK,Auxerre,fr  Ligue 1,24-037,2001,2.0,3,1,0,0,0,3.5,0.22,0.5,0.23,8,31,25.8,46,5,45.7,40.3,12,83.3,55.3,38,3,7.9,3,1.5,13.1
29,Arthur Desmas,FRA,GK,Le Havre,fr  Ligue 1,30-338,1994,17.0,36,2,1,3,0,37.4,0.4,1.4,0.08,54,149,36.2,383,68,29.8,31.4,112,31.3,29.9,263,12,4.6,7,0.41,11.9
30,Michele Di Gregorio,ITA,GK,Juventus,it  Serie A,27-227,1997,23.0,22,5,0,4,0,20.4,0.24,-1.6,-0.07,79,216,36.6,586,83,28.2,31.0,105,48.6,41.4,315,21,6.7,16,0.7,11.5
31,Stole Dimitrievski,MKD,GK,Valencia,es  La Liga,31-076,1993,4.0,6,1,0,0,0,4.5,0.29,-1.5,-0.38,15,72,20.8,113,25,49.6,40.5,20,80.0,53.6,51,3,5.9,16,4.0,25.7
32,Yehvann Diouf,FRA,GK,Reims,fr  Ligue 1,25-115,1999,25.0,40,3,1,5,0,48.9,0.34,8.9,0.35,109,336,32.4,723,103,33.5,32.9,152,61.8,44.9,353,17,4.8,22,0.88,13.8
33,Marko Dmitrović,SRB,GK,Leganés,es  La Liga,33-046,1992,21.0,33,5,0,5,1,33.7,0.3,1.7,0.08,133,506,26.3,507,68,65.3,47.3,194,90.2,66.0,404,28,6.9,34,1.62,14.7
34,Álex Domínguez,ESP,GK,Toulouse,fr  Ligue 1,26-224,1998,0.2,0,0,0,0,0,0.0,,0.0,0.0,2,5,40.0,8,1,25.0,30.0,3,100.0,69.3,7,0,0.0,0,0.0,
35,Gianluigi Donnarumma,ITA,GK,Paris S-G,fr  Ligue 1,26-014,1999,18.2,19,1,1,4,0,18.3,0.27,-0.7,-0.04,28,83,33.7,453,79,13.9,25.2,71,28.2,27.4,163,8,4.9,10,0.55,13.3
36,Patrick Drewes,GER,GK,Bochum,de  Bundesliga,32-035,1993,21.0,46,3,2,4,0,42.3,0.38,-3.7,-0.18,218,484,45.0,681,65,50.1,37.6,177,80.8,52.6,285,12,4.2,33,1.57,15.8
37,Martin Dúbravka,SVK,GK,Newcastle Utd,eng  Premier League,36-055,1989,10.0,12,0,0,1,0,12.9,0.32,0.9,0.09,18,80,22.5,273,54,15.8,25.2,59,62.7,45.4,127,10,7.9,11,1.1,15.3
38,Ederson,BRA,GK,Manchester City,eng  Premier League,31-206,1993,19.0,23,2,0,2,1,25.7,0.36,3.7,0.2,60,136,44.1,650,77,18.9,28.0,56,23.2,31.2,166,10,6.0,36,1.89,17.5
39,Łukasz Fabiański,POL,GK,West Ham,eng  Premier League,39-327,1985,11.9,20,3,1,3,0,22.3,0.3,2.3,0.19,69,205,33.7,359,52,41.5,35.4,94,59.6,44.4,198,7,3.5,11,0.93,13.7
40,Wladimiro Falcone,ITA,GK,Lecce,it  Serie A,29-333,1995,28.0,46,7,2,5,2,41.7,0.26,-2.3,-0.08,156,445,35.1,724,88,49.2,37.6,125,71.2,49.2,429,21,4.9,15,0.54,10.6
41,Álvaro Fernández,ESP,GK,Sevilla,es  La Liga,26-332,1998,7.3,12,2,0,1,0,8.4,0.22,-3.6,-0.49,37,138,26.8,254,24,42.1,35.1,38,81.6,54.5,97,5,5.2,14,1.92,17.5
42,Mark Flekken,NED,GK,Brentford,eng  Premier League,31-271,1993,26.4,42,1,0,2,1,42.1,0.27,1.1,0.04,166,446,37.2,1138,94,31.6,33.6,136,63.2,50.3,434,36,8.3,26,0.99,11.4
43,Yahia Fofana,CIV,GK,Angers,fr  Ligue 1,24-202,2000,25.0,40,2,0,7,0,50.2,0.34,10.2,0.41,107,319,33.5,562,137,37.7,35.3,197,54.3,42.7,398,37,9.3,16,0.64,10.5
44,Fraser Forster,ENG,GK,Tottenham,eng  Premier League,36-359,1988,7.0,15,2,0,1,0,16.5,0.36,1.5,0.21,11,31,35.5,141,30,21.3,27.2,56,1.8,14.6,81,4,4.9,3,0.43,11.1
45,Gauthier Gallon,FRA,GK,Rennes,fr  Ligue 1,31-322,1993,0.5,0,0,0,0,0,0.0,,0.0,0.0,0,3,0.0,15,2,13.3,23.8,4,25.0,26.3,2,0,0.0,1,2.0,28.0
46,Joan García,ESP,GK,Espanyol,es  La Liga,23-311,2001,26.0,37,3,2,6,0,40.5,0.29,3.5,0.14,123,350,35.1,673,139,37.1,34.8,154,64.9,49.8,448,39,8.7,28,1.08,12.6
47,Paulo Gazzaniga,ARG,GK,Girona,es  La Liga,33-068,1992,26.5,38,2,1,3,0,32.2,0.28,-5.8,-0.22,60,209,28.7,819,103,20.5,29.2,118,34.7,36.8,295,26,8.8,25,0.94,13.0
48,David de Gea,ESP,GK,Fiorentina,it  Serie A,34-124,1990,25.0,27,1,0,1,1,28.0,0.25,2.0,0.08,153,360,42.5,625,87,41.3,35.9,186,54.8,44.7,352,10,2.8,17,0.68,13.9
49,Pierluigi Gollini,ITA,GK,Genoa,it  Serie A,29-358,1995,7.0,15,3,0,1,0,12.2,0.29,-2.8,-0.39,33,75,44.0,198,21,24.7,30.4,52,50.0,44.4,92,2,2.2,2,0.29,9.6
50,Mathieu Gorgelin,FRA,GK,Le Havre,fr  Ligue 1,34-218,1990,8.0,15,2,0,2,1,13.7,0.34,-0.3,-0.03,42,93,45.2,223,42,35.4,32.6,50,28.0,30.0,148,12,8.1,6,0.75,11.4
51,Kamil Grabara,POL,GK,Wolfsburg,de  Bundesliga,26-062,1999,19.7,34,1,0,8,1,37.7,0.37,4.7,0.24,124,365,34.0,672,67,45.2,37.8,86,70.9,53.4,280,7,2.5,10,0.51,12.0
52,Dominik Greif,SVK,GK,Mallorca,es  La Liga,27-339,1997,22.0,26,2,0,3,0,21.6,0.26,-4.4,-0.2,145,354,41.0,627,91,42.3,36.8,138,64.5,49.4,377,12,3.2,14,0.64,12.1
53,Vicente Guaita,ESP,GK,Celta Vigo,es  La Liga,38-060,1987,23.0,32,1,0,5,0,26.9,0.3,-5.1,-0.22,48,154,31.2,511,145,20.4,27.7,149,33.6,34.2,308,22,7.1,31,1.35,14.2
54,Péter Gulácsi,HUN,GK,RB Leipzig,de  Bundesliga,34-309,1990,23.5,32,2,1,3,0,33.7,0.31,1.7,0.07,61,150,40.7,557,112,18.7,27.8,151,30.5,32.6,329,16,4.9,23,0.98,16.0
55,Kjetil Haug,NOR,GK,Toulouse,fr  Ligue 1,26-272,1998,4.5,5,0,0,2,0,5.2,0.44,0.2,0.04,14,55,25.5,80,9,40.0,34.9,30,76.7,51.1,61,4,6.6,2,0.44,11.7
56,Dean Henderson,ENG,GK,Crystal Palace,eng  Premier League,27-364,1997,28.0,33,1,0,2,2,34.9,0.32,3.9,0.14,112,440,25.5,689,86,47.5,38.5,214,52.8,43.1,409,20,4.9,32,1.14,14.6
57,Mads Hermansen,DEN,GK,Leicester City,eng  Premier League,24-243,2000,20.5,44,1,0,2,3,43.8,0.36,2.8,0.14,80,343,23.3,692,101,38.4,34.3,110,70.0,48.2,340,18,5.3,20,0.98,13.4
58,Sergio Herrera,ESP,GK,Osasuna,es  La Liga,31-279,1993,26.0,37,3,1,3,1,39.5,0.3,3.5,0.13,198,437,45.3,702,96,43.7,38.0,183,71.0,51.7,367,28,7.6,65,2.5,19.9
59,Dinko Horkaš,CRO,GK,Las Palmas,es  La Liga,26-001,1999,2.3,5,0,0,0,0,4.1,0.39,-0.9,-0.4,7,19,36.8,85,9,16.5,26.8,11,45.5,33.2,31,0,0.0,7,2.99,23.8
60,Timo Horn,GER,GK,Bochum,de  Bundesliga,31-303,1993,4.0,4,0,0,1,0,4.7,0.35,0.7,0.18,52,119,43.7,120,6,70.0,47.1,36,97.2,63.2,70,2,2.9,2,0.5,11.1
61,Lukáš Hrádecký,FIN,GK,Leverkusen,de  Bundesliga,35-107,1989,22.0,27,3,1,2,2,25.2,0.26,0.2,0.01,94,232,40.5,595,88,29.9,30.9,101,53.5,42.0,229,10,4.4,25,1.14,15.9
62,Karl Jakob Hein,EST,GK,Valladolid,es  La Liga,22-332,2002,27.0,62,2,1,4,1,52.0,0.35,-9.0,-0.33,144,388,37.1,818,123,31.7,33.4,200,64.5,51.7,432,33,7.6,33,1.22,14.4
63,Vitezslav Jaros,CZE,GK,Liverpool,eng  Premier League,23-231,2001,0.1,0,0,0,0,0,0.0,0.03,0.0,0.25,5,7,71.4,7,2,85.7,50.9,1,100.0,59.0,2,0,0.0,0,0.0,11.0
64,Karl-Johan Johnsson,SWE,GK,Strasbourg,fr  Ligue 1,35-042,1990,3.0,6,1,0,0,0,6.7,0.26,0.7,0.22,6,22,27.3,122,21,15.6,23.9,7,42.9,39.7,48,2,4.2,3,1.0,11.1
65,Sam Johnstone,ENG,GK,Wolves,eng  Premier League,31-351,1993,7.0,17,2,0,5,1,13.0,0.29,-3.0,-0.43,52,129,40.3,252,28,45.6,36.6,25,56.0,43.2,104,8,7.7,11,1.57,13.4
66,Jesse Joronen,FIN,GK,Venezia,it  Serie A,31-355,1993,7.8,15,3,0,3,2,12.6,0.26,-0.4,-0.05,20,84,23.8,260,46,28.1,31.0,41,26.8,34.9,125,6,4.8,5,0.64,9.4
67,Luiz Lúcio Reis Júnior,BRA,GK,Villarreal,es  La Liga,24-056,2001,6.2,7,1,1,0,0,7.3,0.3,0.3,0.05,24,65,36.9,145,34,33.8,32.7,29,55.2,46.4,82,6,7.3,13,2.1,16.3
68,Filip Jørgensen,DEN,GK,Chelsea,eng  Premier League,22-329,2002,6.0,9,1,0,1,0,9.3,0.3,0.3,0.04,7,33,21.2,171,19,18.1,24.1,18,11.1,17.5,53,2,3.8,2,0.33,13.2
69,Caoimhín Kelleher,IRL,GK,Liverpool,eng  Premier League,26-108,1998,8.0,9,0,0,0,0,10.4,0.31,1.4,0.17,25,94,26.6,281,37,29.9,29.1,15,66.7,44.7,87,4,4.6,8,1.0,15.1
70,Antonín Kinský,CZE,GK,Tottenham,eng  Premier League,21-363,2003,4.0,7,0,0,0,2,4.5,0.28,-0.5,-0.12,12,33,36.4,126,16,23.8,29.1,19,15.8,22.5,75,3,4.0,4,1.0,10.1
71,Gregor Kobel,SUI,GK,Dortmund,de  Bundesliga,27-095,1997,23.0,35,3,0,4,1,33.0,0.35,-1.0,-0.05,74,218,33.9,819,86,21.6,27.5,78,52.6,41.6,279,13,4.7,25,1.09,14.3
72,Hervé Koffi,BFA,GK,Lens,fr  Ligue 1,28-146,1996,5.0,8,2,0,1,0,11.1,0.38,3.1,0.61,14,42,33.3,115,22,29.6,33.2,19,42.1,36.4,53,4,7.5,2,0.4,9.4
73,Philipp Köhn,SUI,GK,Monaco,fr  Ligue 1,26-343,1998,10.0,10,1,0,1,0,8.1,0.22,-1.9,-0.19,26,80,32.5,241,34,24.1,29.9,54,40.7,36.0,118,6,5.1,14,1.4,16.9
74,Matej Kovar,CZE,GK,Leverkusen,de  Bundesliga,24-298,2000,3.0,3,0,0,0,0,3.0,0.27,0.0,-0.01,8,23,34.8,79,7,26.6,31.6,5,40.0,39.0,27,2,7.4,6,2.0,19.8
75,Nediljko Labrović,CRO,GK,Augsburg,de  Bundesliga,25-152,1999,15.0,32,3,1,2,0,25.9,0.32,-6.1,-0.4,83,220,37.7,397,72,38.8,35.2,105,62.9,47.4,217,12,5.5,18,1.2,13.3
76,Alban Lafont,FRA,GK,Nantes,fr  Ligue 1,26-047,1999,12.0,19,3,0,2,2,16.8,0.3,-0.2,-0.02,40,143,28.0,309,56,34.0,34.9,57,66.7,51.1,200,16,8.0,6,0.5,10.6
77,Gautier Larsonneur,FRA,GK,Saint-Étienne,fr  Ligue 1,28-016,1997,25.0,57,12,0,4,2,54.1,0.28,-0.9,-0.04,96,369,26.0,741,110,38.5,34.6,150,56.0,41.7,395,20,5.1,21,0.84,13.1
78,Nicola Leali,ITA,GK,Genoa,it  Serie A,32-022,1993,21.0,21,2,0,4,2,24.6,0.29,5.6,0.27,106,270,39.3,532,82,37.0,33.1,149,49.0,40.8,301,17,5.6,10,0.48,10.1
79,Benjamin Lecomte,FRA,GK,Montpellier,fr  Ligue 1,33-319,1991,22.0,51,4,0,3,2,45.4,0.32,-3.6,-0.16,149,375,39.7,641,85,44.3,36.8,149,61.1,44.2,314,16,5.1,19,0.86,14.2
80,Bernd Leno,GER,GK,Fulham,eng  Premier League,33-007,1992,28.0,38,2,0,4,2,33.0,0.28,-3.0,-0.11,90,262,34.4,933,109,21.4,28.5,119,52.1,42.6,365,18,4.9,24,0.86,12.9
81,Donovan Léon,GUF,GK,Auxerre,fr  Ligue 1,32-128,1992,23.0,35,4,0,5,2,37.2,0.3,4.2,0.18,158,483,32.7,651,114,56.4,43.3,141,82.3,59.1,375,22,5.9,38,1.65,15.7
82,Anthony Lopes,POR,GK,Nantes,fr  Ligue 1,34-161,1990,10.0,19,2,0,1,1,16.4,0.34,-1.6,-0.16,60,170,35.3,252,27,48.0,38.9,57,86.0,52.5,191,9,4.7,4,0.4,9.6
83,Pau López,ESP,GK,Girona,es  La Liga,30-088,1994,0.5,2,0,0,0,0,1.3,0.44,-0.7,-1.33,4,9,44.4,17,2,35.3,35.8,7,42.9,38.7,17,3,17.6,1,2.0,9.8
84,Joe Lumley,ENG,GK,Southampton,eng  Premier League,30-024,1995,3.0,7,0,0,1,0,7.7,0.39,0.7,0.22,15,50,30.0,135,14,34.1,30.0,15,26.7,24.0,56,2,3.6,7,2.33,18.0
85,Andriy Lunin,UKR,GK,Real Madrid,es  La Liga,26-028,1999,4.0,5,0,0,0,0,3.2,0.23,-1.8,-0.44,13,31,41.9,119,19,20.2,27.3,28,25.0,30.5,43,2,4.7,9,2.25,14.7
86,Mike Maignan,FRA,GK,Milan,it  Serie A,29-251,1995,27.0,30,1,0,2,2,25.4,0.25,-2.6,-0.1,89,232,38.4,960,120,18.6,27.7,146,36.3,39.0,329,20,6.1,51,1.89,18.9
87,Radosław Majecki,POL,GK,Monaco,fr  Ligue 1,25-115,1999,15.0,22,2,1,1,0,21.1,0.31,-0.9,-0.06,27,112,24.1,320,76,26.6,30.5,87,31.0,32.8,154,14,9.1,18,1.2,14.0
88,Giorgi Mamardashvili,GEO,GK,Valencia,es  La Liga,24-163,2000,23.0,39,3,0,2,2,32.5,0.32,-4.5,-0.2,100,300,33.3,553,79,36.9,35.5,150,64.0,48.7,282,13,4.6,31,1.35,16.4
89,Steve Mandanda,FRA,GK,Rennes,fr  Ligue 1,39-348,1985,16.5,23,2,0,2,2,17.0,0.29,-4.0,-0.24,61,180,33.9,425,66,33.6,32.8,73,50.7,41.6,175,7,4.0,21,1.27,15.7
90,Christos Mandas,GRE,GK,Lazio,it  Serie A,23-175,2001,1.0,0,0,0,0,0,0.8,0.39,0.8,0.77,8,17,47.1,37,2,35.1,35.2,7,57.1,39.4,14,1,7.1,4,4.0,17.3
91,Unai Marrero,ESP,GK,Real Sociedad,es  La Liga,23-153,2001,1.0,1,0,0,0,0,1.1,0.28,0.1,0.13,4,10,40.0,21,5,33.3,31.2,8,37.5,33.5,10,1,10.0,3,3.0,23.0
92,Emiliano Martínez,ARG,GK,Aston Villa,eng  Premier League,32-190,1992,27.0,41,1,1,2,0,39.3,0.34,-1.7,-0.06,117,280,41.8,891,95,24.0,29.4,129,51.2,41.6,363,40,11.0,28,1.04,14.5
93,Josep Martinez,ESP,GK,Inter,it  Serie A,26-288,1998,3.0,3,0,0,0,0,3.6,0.37,0.6,0.19,15,34,44.1,120,11,25.0,30.6,11,36.4,30.9,43,3,7.0,1,0.33,13.6
94,Alex McCarthy,ENG,GK,Southampton,eng  Premier League,35-098,1989,5.0,13,2,0,1,0,12.6,0.29,-0.4,-0.07,24,52,46.2,132,29,33.3,29.5,23,34.8,30.7,74,8,10.8,0,0.0,6.5
95,Alex Meret,ITA,GK,Napoli,it  Serie A,27-354,1997,24.4,22,1,1,0,1,21.1,0.29,0.1,0.0,56,142,39.4,684,84,15.6,27.5,131,26.7,32.5,273,17,6.2,34,1.39,16.4
